"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",2,2,TRUE,7,6,6,8,1,3,0,TRUE
"2",2,2,TRUE,8,7,2,7,3,9,0,TRUE
"3",2,2,FALSE,7,8,10,8,2,9,0,FALSE
"4",2,2,FALSE,4,5,5,6,8,2,0,FALSE
"5",2,2,TRUE,9,8,8,7,2,4,0,FALSE
"6",2,2,TRUE,2,1,10,3,6,1,0,FALSE
"7",2,2,TRUE,4,3,8,3,9,6,0,FALSE
"8",2,2,TRUE,5,4,4,9,1,6,0,TRUE
"9",2,2,TRUE,8,7,7,4,9,3,0,FALSE
"10",2,2,FALSE,5,6,6,10,4,8,0,FALSE
"11",2,2,FALSE,7,8,9,10,6,8,0,TRUE
"12",2,2,TRUE,6,5,7,9,4,5,0,TRUE
"13",2,2,TRUE,2,1,3,1,9,10,0,FALSE
"14",2,2,FALSE,3,4,7,9,4,2,0,TRUE
"15",2,2,FALSE,2,3,3,6,1,5,0,FALSE
"16",2,2,TRUE,8,7,7,5,9,4,0,TRUE
"17",2,2,TRUE,3,2,9,2,7,4,0,TRUE
"18",2,2,FALSE,9,10,10,6,7,2,0,FALSE
"19",2,2,FALSE,2,3,1,9,4,3,0,TRUE
"20",2,2,TRUE,7,6,9,6,4,5,0,FALSE
"21",2,2,TRUE,5,4,3,4,9,6,0,TRUE
"22",2,2,TRUE,8,7,7,5,1,9,0,TRUE
"23",2,2,FALSE,4,5,9,7,1,5,0,FALSE
"24",2,2,FALSE,3,4,6,4,7,5,0,FALSE
"25",2,2,FALSE,7,8,1,8,5,9,0,FALSE
"26",2,2,FALSE,3,4,10,5,6,4,0,FALSE
"27",2,2,TRUE,9,8,3,10,1,8,0,TRUE
"28",2,2,FALSE,9,10,10,2,3,8,0,TRUE
"29",2,2,TRUE,5,4,8,9,4,1,0,FALSE
"30",2,2,FALSE,8,9,4,3,7,9,0,FALSE
"31",2,2,TRUE,4,3,6,5,3,1,0,TRUE
"32",2,2,FALSE,3,4,4,10,8,2,0,TRUE
"33",2,2,TRUE,6,5,5,7,3,1,0,TRUE
"34",2,2,TRUE,9,8,10,7,5,8,0,TRUE
"35",2,2,FALSE,2,3,3,6,5,10,0,FALSE
"36",2,2,FALSE,4,5,3,10,1,5,0,TRUE
"37",2,2,TRUE,5,4,10,6,4,9,0,TRUE
"38",2,2,FALSE,6,7,10,5,3,7,0,TRUE
"39",2,2,FALSE,6,7,7,3,2,8,0,FALSE
"40",2,2,TRUE,6,5,7,5,8,4,0,TRUE
